Schedule,Block 1 Rotation,Block 1 Site,Block 2 Rotation,Block 2 Site,Block 3 Rotation,Block 3 Site,Block 4 Rotation,Block 4 Site,Block 5 Rotation,Block 5 Site,Block 6 Rotation,Block 6 Site,Block 7 Rotation,Block 7 Site,Block 8 Rotation,Block 8 Site,Block 9 Rotation,Block 9 Site,Max Pairwise Distance (min),Dominant City
14,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Family Medicine,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",6.6,Akron
15,Psychiatry,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,Aultman Hospital,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Pediatrics,"Akron Children's Hospital, Akron Campus",Emergency Medicine,Cleveland Clinic Union Hospital,Surgery,Aultman Hospital,Family Medicine,Aultman Hospital,Elective,Generic Elective,51.8,Canton
16,Pediatrics,"Akron Children's Hospital, Akron Campus",Family Medicine,Aultman Hospital,Surgery,Aultman Hospital,Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,Aultman Hospital,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Elective,Generic Elective,66.3,Canton
17,Internal Medicine,University Hospitals Geauga Medical Center,Internal Medicine,University Hospitals Geauga Medical Center,Psychiatry,"Cleveland Clinic Akron General, Akron Campus",Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Family Medicine,"Summa Health Systems, Barberton Campus",Surgery,"Cleveland Clinic Akron General, Akron Campus",Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Elective,Generic Elective,64.9,Akron
18,Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",Family Medicine,University Hospitals Lake Health West Medical Center,Elective,Generic Elective,Emergency Medicine,"Summa Health Systems, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",48.0,Akron
19,Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron Campus",Psychiatry,University Hospitals Cleveland Medical Center,Family Medicine,"Cleveland Clinic Akron General, Akron Campus",Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Surgery,"Cleveland Clinic Akron General, Akron Campus",36.6,Akron
20,Elective,Generic Elective,Psychiatry,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",Family Medicine,Aultman Hospital,Obstetrics/Gynecology,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron Campus",26.9,Akron
21,Pediatrics,"Akron Children's Hospital, Akron Campus",Surgery,Aultman Hospital,Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Family Medicine,"Summa Health Systems, Barberton Campus",Psychiatry,University Hospitals Cleveland Medical Center,Internal Medicine,Western Reserve Hospital,Internal Medicine,Western Reserve Hospital,Elective,Generic Elective,56.5,Akron
22,Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Family Medicine,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,Aultman Hospital,Elective,Generic Elective,26.9,Akron
23,Elective,Generic Elective,Family Medicine,"Summa Health Systems, Barberton Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Psychiatry,"Cleveland Clinic Akron General, Akron Campus",Surgery,University Hospitals Cleveland Medical Center,Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",39.4,Akron
24,Pediatrics,"Akron Children's Hospital, Akron Campus",Family Medicine,"Summa Health Systems, Barberton Campus",Surgery,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,Aultman Hospital,Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Elective,Generic Elective,29.6,Akron
25,Surgery,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",Psychiatry,Bluestone Child and Adolescent Psychiatric Hospital,Pediatrics,"Akron Children's Hospital, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Family Medicine,Aultman Hospital,Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",Elective,Generic Elective,58.3,Akron
26,Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Elective,Generic Elective,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",50.6,Akron
27,Surgery,University Hospitals Cleveland Medical Center,Emergency Medicine,University Hospitals Ahuja Medical Center,Internal Medicine,University Hospitals Geauga Medical Center,Internal Medicine,University Hospitals Geauga Medical Center,Psychiatry,Bluestone Child and Adolescent Psychiatric Hospital,Pediatrics,Senders Pediatrics,Family Medicine,University Hospitals Lake Health West Medical Center,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Elective,Generic Elective,53.3,Eastern Cleveland
28,Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Elective,Generic Elective,Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Psychiatry,Louis Stokes Cleveland VA,Emergency Medicine,University Hospitals Portage Medical Center,Surgery,"Cleveland Clinic Akron General, Akron Campus",Family Medicine,"Cleveland Clinic Akron General, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",52.2,Akron
29,Psychiatry,"Summa Health Systems, Akron Campus",Surgery,Cleveland Clinic Mercy Medical Center (Canton),Emergency Medicine,"Summa Health Systems, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Family Medicine,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",Elective,Generic Elective,25.5,Akron
30,Elective,Generic Elective,Family Medicine,"Summa Health Systems, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Psychiatry,Northcoast Behavioral Health,31.6,Akron
31,Emergency Medicine,"Summa Health Systems, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",Family Medicine,"Summa Health Systems, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Internal Medicine,Western Reserve Hospital,Internal Medicine,Western Reserve Hospital,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Pediatrics,"Akron Children's Hospital, Akron Campus",Elective,Generic Elective,31.8,Akron
32,Internal Medicine,Western Reserve Hospital,Internal Medicine,Western Reserve Hospital,Surgery,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Obstetrics/Gynecology,Aultman Hospital,Family Medicine,"Summa Health Systems, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Elective,Generic Elective,33.0,Akron
33,Pediatrics,"Akron Children's Hospital, Akron Campus",Elective,Generic Elective,Family Medicine,"Cleveland Clinic Akron General, Akron Campus",Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Psychiatry,University Hospitals Cleveland Medical Center,Surgery,Cleveland Clinic Mercy Medical Center (Canton),Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",53.0,Akron
34,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,University Hospitals Geauga Medical Center,Internal Medicine,University Hospitals Geauga Medical Center,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,68.0,Youngstown
35,Elective,Generic Elective,Obstetrics/Gynecology,University Hospitals TriPoint Medical Center,Emergency Medicine,MetroHealth Medical Center,Surgery,University Hospitals Cleveland Medical Center,Psychiatry,University Hospitals Cleveland Medical Center,Pediatrics,University Hospitals Cleveland Medical Center,Internal Medicine,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Family Medicine,University Hospitals St. John Medical Center,50.2,Western Cleveland
36,Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",Elective,Generic Elective,Family Medicine,"Summa Health Systems, Barberton Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",15.8,Akron
37,Pediatrics,"Akron Children's Hospital, Akron Campus",Elective,Generic Elective,Emergency Medicine,"Summa Health Systems, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Psychiatry,"Summa Health Systems, Akron Campus",66.3,Akron
38,Emergency Medicine,"Summa Health Systems, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",Elective,Generic Elective,Family Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",6.6,Akron
39,Pediatrics,"Akron Children's Hospital, Akron Campus",Elective,Generic Elective,Obstetrics/Gynecology,Aultman Hospital,Family Medicine,"Summa Health Systems, Barberton Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",29.6,Akron
40,Elective,Generic Elective,Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Psychiatry,Louis Stokes Cleveland VA,Family Medicine,"Cleveland Clinic Akron General, Akron Campus",Surgery,Western Reserve Hospital,Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",48.0,Akron
41,Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",Family Medicine,"Summa Health Systems, Barberton Campus",Psychiatry,"Summa Health Systems, Akron Campus",Elective,Generic Elective,Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",15.8,Akron
42,Internal Medicine,University Hospitals Geauga Medical Center,Internal Medicine,University Hospitals Geauga Medical Center,Psychiatry,Louis Stokes Cleveland VA,Pediatrics,University Hospitals Cleveland Medical Center,Surgery,University Hospitals Lake Health West Medical Center,Emergency Medicine,University Hospitals Lake Health West Medical Center,Elective,Generic Elective,Obstetrics/Gynecology,University Hospitals TriPoint Medical Center,Family Medicine,University Hospitals Lake Health West Medical Center,53.3,Eastern Cleveland
43,Internal Medicine,University Hospitals Parma Medical Center,Internal Medicine,University Hospitals Parma Medical Center,Pediatrics,"Akron Children's Hospital, Akron Campus",Obstetrics/Gynecology,Aultman Hospital,Psychiatry,"Summa Health Systems, Akron Campus",Elective,Generic Elective,Family Medicine,Mercy Health St. Elizabeth Boardman Hospital,Surgery,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",80.7,Akron
44,Pediatrics,"Akron Children's Hospital, Akron Campus",Family Medicine,"Summa Health Systems, Barberton Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Elective,Generic Elective,Surgery,Cleveland Clinic Mercy Medical Center (Canton),Emergency Medicine,"Summa Health Systems, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",26.0,Akron
45,Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",Surgery,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron Campus",Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",Elective,Generic Elective,Psychiatry,"Summa Health Systems, Akron Campus",Family Medicine,"Cleveland Clinic Akron General, Akron Campus",28.4,Akron
46,Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Surgery,Aultman Hospital,Family Medicine,"Cleveland Clinic Akron General, Akron Campus",Elective,Generic Elective,Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Psychiatry,"Cleveland Clinic Akron General, Akron Campus",28.4,Akron
47,Surgery,"Cleveland Clinic Akron General, Akron Campus",Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Family Medicine,"Cleveland Clinic Akron General, Akron Campus",Psychiatry,"Cleveland Clinic Akron General, Akron Campus",Obstetrics/Gynecology,Aultman Hospital,Internal Medicine,Western Reserve Hospital,Internal Medicine,Western Reserve Hospital,Elective,Generic Elective,33.0,Akron
48,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron Campus",Surgery,"Cleveland Clinic Akron General, Akron Campus",Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Psychiatry,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,University Hospitals Parma Medical Center,Internal Medicine,University Hospitals Parma Medical Center,Family Medicine,"Cleveland Clinic Akron General, Akron Campus",42.8,Akron
49,Pediatrics,"Akron Children's Hospital, Akron Campus",Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Family Medicine,University Hospitals Lake Health West Medical Center,Psychiatry,"Cleveland Clinic Akron General, Akron Campus",Surgery,"Cleveland Clinic Akron General, Akron Campus",Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Elective,Generic Elective,49.7,Akron
50,Obstetrics/Gynecology,Aultman Hospital,Elective,Generic Elective,Internal Medicine,University Hospitals Geauga Medical Center,Internal Medicine,University Hospitals Geauga Medical Center,Family Medicine,Aultman Hospital,Surgery,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",75.2,Akron
51,Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Obstetrics/Gynecology,Aultman Hospital,Psychiatry,University Hospitals Cleveland Medical Center,Family Medicine,"Cleveland Clinic Akron General, Akron Campus",Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron Campus",Surgery,"Cleveland Clinic Akron General, Akron Campus",Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",56.5,Akron
52,Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Surgery,"Cleveland Clinic Akron General, Akron Campus",Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Family Medicine,"Cleveland Clinic Akron General, Akron Campus",Psychiatry,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Elective,Generic Elective,3.9,Akron
53,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Family Medicine,Aultman Hospital,Surgery,Aultman Hospital,Emergency Medicine,"Summa Health Systems, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron Campus",Elective,Generic Elective,26.9,Canton
54,Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Psychiatry,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Elective,Generic Elective,Emergency Medicine,"Summa Health Systems, Akron Campus",Surgery,"Cleveland Clinic Akron General, Akron Campus",Family Medicine,"Cleveland Clinic Akron General, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",8.0,Akron
55,Family Medicine,"Cleveland Clinic Akron General, Akron Campus",Pediatrics,"Akron Children's Hospital, Akron Campus",Elective,Generic Elective,Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Surgery,"Cleveland Clinic Akron General, Akron Campus",Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Psychiatry,"Cleveland Clinic Akron General, Akron Campus",3.9,Akron
56,Pediatrics,"Akron Children's Hospital, Akron Campus",Elective,Generic Elective,Emergency Medicine,"Summa Health Systems, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",Family Medicine,"Summa Health Systems, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",6.6,Akron
57,Pediatrics,"Akron Children's Hospital, Akron Campus",Psychiatry,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Elective,Generic Elective,Surgery,"Summa Health Systems, Akron Campus",Emergency Medicine,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,"Summa Health Systems, Akron Campus",Family Medicine,"Summa Health Systems, Akron Campus",6.6,Akron
58,Psychiatry,"Summa Health Systems, Akron Campus",Obstetrics/Gynecology,Aultman Hospital,Family Medicine,Mercy Health St. Elizabeth Boardman Hospital,Pediatrics,"Akron Children's Hospital, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Internal Medicine,"Summa Health Systems, Akron Campus",Elective,Generic Elective,Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Surgery,"Summa Health Systems, Akron Campus",67.1,Akron
59,Psychiatry,Louis Stokes Cleveland VA,Pediatrics,"Akron Children's Hospital, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,"Cleveland Clinic Akron General, Akron Campus",Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Surgery,"Cleveland Clinic Akron General, Akron Campus",Elective,Generic Elective,Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Family Medicine,"Cleveland Clinic Akron General, Akron Campus",46.4,Akron
