Schedule,Block 1 Rotation,Block 1 Site,Block 2 Rotation,Block 2 Site,Block 3 Rotation,Block 3 Site,Block 4 Rotation,Block 4 Site,Block 5 Rotation,Block 5 Site,Block 6 Rotation,Block 6 Site,Block 7 Rotation,Block 7 Site,Block 8 Rotation,Block 8 Site,Block 9 Rotation,Block 9 Site,Max Pairwise Distance (min),Dominant City
12,Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,Mercy Health St. Elizabeth Youngstown,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Elective,Generic Elective,Obstetrics/Gynecology,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",50.6,Akron
13,Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,"Summa Health Systems, Barberton",Obstetrics/Gynecology,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Psychiatry,Bluestone Child and Adolescent Psychiatric Hospital,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Elective,Generic Elective,64.9,Akron
14,Family Medicine,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Obstetrics/Gynecology,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,3.9,Akron
15,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",Obstetrics/Gynecology,Aultman Hospital,Family Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",26.9,Akron
16,Elective,Generic Elective,Obstetrics/Gynecology,Aultman Hospital,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Family Medicine,Aultman Hospital,Emergency Medicine,Aultman Hospital,Surgery,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,Mercy Health St. Elizabeth Youngstown,66.3,Canton
17,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Aultman Hospital,Psychiatry,UH Cleveland Medical Center,Family Medicine,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,Aultman Hospital,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Elective,Generic Elective,56.5,Canton
18,Internal Medicine,Western Reserve Hospital,Internal Medicine,Western Reserve Hospital,Psychiatry,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,Cleveland Clinic Akron General,Elective,Generic Elective,Family Medicine,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,13.6,Akron
19,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,"Summa Health, Akron",Obstetrics/Gynecology,Aultman Hospital,Family Medicine,"Summa Health, Akron",Elective,Generic Elective,Emergency Medicine,UH Portage Medical Center,Surgery,"Summa Health, Akron",47.8,Akron
20,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Psychiatry,Cleveland Clinic Akron General,Obstetrics/Gynecology,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,3.9,Akron
21,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Surgery,Cleveland Clinic Akron General,Emergency Medicine,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Family Medicine,"Summa Health, Akron",8,Akron
22,Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",Elective,Generic Elective,Family Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,Western Reserve Hospital,Internal Medicine,Western Reserve Hospital,Obstetrics/Gynecology,"Summa Health, Akron",11.8,Akron
23,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Family Medicine,Mercy Health St. Elizabeth Boardman,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Surgery,Cleveland Clinic Mercy Medical Center (Canton),Emergency Medicine,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",63.5,Akron
24,Elective,Generic Elective,Family Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Mercy Medical Center (Canton),Obstetrics/Gynecology,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",26,Akron
25,Psychiatry,"Summa Health, Akron",Family Medicine,"Summa Health Systems, Barberton",Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",15.8,Akron
26,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Elective,Generic Elective,Obstetrics/Gynecology,"Summa Health, Akron",Family Medicine,Mercy Health St. Elizabeth Boardman,57.4,Akron
27,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,"Summa Health, Akron",Family Medicine,"Summa Health Systems, Barberton",Elective,Generic Elective,Obstetrics/Gynecology,"Summa Health, Akron",Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",15.8,Akron
28,Surgery,UH Cleveland Medical Center,Emergency Medicine,UH Ahuja Medical Center,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Pediatrics,Senders Pediatrics,Obstetrics/Gynecology,UH Ahuja Medical Center,Family Medicine,UH Lake Health West Medical Center,Psychiatry,Bluestone Child and Adolescent Psychiatric Hospital,Elective,Generic Elective,53.3,Eastern Cleveland
29,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Elective,Generic Elective,Obstetrics/Gynecology,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,Surgery,Aultman Hospital,Emergency Medicine,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",28.4,Akron
30,Obstetrics/Gynecology,"Summa Health, Akron",Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Family Medicine,"Summa Health Systems, Barberton",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,15.8,Akron
31,Psychiatry,"Summa Health, Akron",Family Medicine,UH Lake Health West Medical Center,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Elective,Generic Elective,48,Akron
32,Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Elective,Generic Elective,Obstetrics/Gynecology,"Summa Health, Akron",Internal Medicine,Western Reserve Hospital,Internal Medicine,Western Reserve Hospital,Family Medicine,Mercy Health St. Elizabeth Boardman,Psychiatry,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",61.4,Akron
33,Internal Medicine,Western Reserve Hospital,Internal Medicine,Western Reserve Hospital,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Family Medicine,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",11.8,Akron
34,Elective,Generic Elective,Obstetrics/Gynecology,UH Ahuja Medical Center,Pediatrics,UH Cleveland Medical Center,Psychiatry,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Family Medicine,UH St. John Medical Center,Emergency Medicine,MetroHealth Medical Center,Surgery,MetroHealth Medical Center,34.1,Western Cleveland
35,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Beeghley",Psychiatry,Mercy Health St. Elizabeth Youngstown,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown,Emergency Medicine,Mercy Health St. Elizabeth Youngstown,Surgery,Mercy Health St. Elizabeth Youngstown,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Family Medicine,Mercy Health St. Elizabeth Youngstown,68,Youngstown
36,Obstetrics/Gynecology,UH TriPoint Medical Center,Elective,Generic Elective,Surgery,MetroHealth Medical Center,Emergency Medicine,UH Ahuja Medical Center,Pediatrics,UH Cleveland Medical Center,Psychiatry,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Family Medicine,MetroHealth Medical Center,35.4,Eastern Cleveland
37,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Family Medicine,Mercy Health St. Elizabeth Boardman,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,"Summa Health, Akron",Elective,Generic Elective,Obstetrics/Gynecology,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",57.4,Akron
38,Obstetrics/Gynecology,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron",Surgery,Aultman Hospital,Emergency Medicine,Cleveland Clinic Union Hospital,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Family Medicine,Aultman Hospital,Psychiatry,Mercy Health St. Elizabeth Youngstown,Elective,Generic Elective,89.2,Canton
39,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Elective,Generic Elective,Family Medicine,UH Lake Health West Medical Center,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,"Summa Health, Akron",Obstetrics/Gynecology,Aultman Hospital,66.7,Akron
40,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,Aultman Hospital,Psychiatry,"Summa Health, Akron",Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",26.9,Akron
41,Obstetrics/Gynecology,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Elective,Generic Elective,Psychiatry,Cleveland Clinic Akron General,Family Medicine,"Summa Health Systems, Barberton",Surgery,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,15.8,Akron
42,Emergency Medicine,"Summa Health, Akron",Surgery,Cleveland Clinic Mercy Medical Center (Canton),Elective,Generic Elective,Psychiatry,Northcoast Behavioral Health,Obstetrics/Gynecology,Aultman Hospital,Family Medicine,Aultman Hospital,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",50.3,Akron
43,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Pediatrics,Senders Pediatrics,Psychiatry,Louis Stokes Cleveland VA,Surgery,UH Lake Health West Medical Center,Emergency Medicine,UH Lake Health West Medical Center,Elective,Generic Elective,Obstetrics/Gynecology,UH TriPoint Medical Center,Family Medicine,UH Lake Health West Medical Center,48.3,Eastern Cleveland
44,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,Bluestone Child and Adolescent Psychiatric Hospital,Surgery,UH Cleveland Medical Center,Emergency Medicine,UH Ahuja Medical Center,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Obstetrics/Gynecology,UH Ahuja Medical Center,Family Medicine,Mercy Health St. Elizabeth Boardman,Elective,Generic Elective,73.3,Eastern Cleveland
45,Psychiatry,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Family Medicine,"Summa Health Systems, Barberton",Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,15.8,Akron
46,Elective,Generic Elective,Obstetrics/Gynecology,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,"Summa Health, Akron",Family Medicine,Cleveland Clinic Akron General,8,Akron
47,Emergency Medicine,Cleveland Clinic Akron General,Surgery,UH Cleveland Medical Center,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,Obstetrics/Gynecology,Cleveland Clinic Akron General,36.6,Akron
48,Surgery,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Psychiatry,Bluestone Child and Adolescent Psychiatric Hospital,Obstetrics/Gynecology,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,Cleveland Clinic Akron General,Internal Medicine,Western Reserve Hospital,Internal Medicine,Western Reserve Hospital,Elective,Generic Elective,41.3,Akron
49,Obstetrics/Gynecology,"Summa Health, Akron",Elective,Generic Elective,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Family Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",6.6,Akron
50,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,Obstetrics/Gynecology,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Elective,Generic Elective,3.9,Akron
51,Surgery,Aultman Hospital,Emergency Medicine,Cleveland Clinic Union Hospital,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Psychiatry,Louis Stokes Cleveland VA,Obstetrics/Gynecology,Aultman Hospital,Family Medicine,Aultman Hospital,89.1,Canton
52,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,Cleveland Clinic Akron General,Elective,Generic Elective,Obstetrics/Gynecology,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,3.9,Akron
53,Obstetrics/Gynecology,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Surgery,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,Elective,Generic Elective,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,3.9,Akron
54,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Elective,Generic Elective,Surgery,Aultman Hospital,Emergency Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,Aultman Hospital,Obstetrics/Gynecology,Aultman Hospital,Psychiatry,UH Cleveland Medical Center,56.5,Canton
55,Psychiatry,UH Cleveland Medical Center,Family Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Elective,Generic Elective,Emergency Medicine,"Summa Health, Akron",Surgery,Cleveland Clinic Akron General,Obstetrics/Gynecology,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",37.3,Akron
56,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,Psychiatry,UH Cleveland Medical Center,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,36.6,Akron
57,Surgery,Mercy Health St. Elizabeth Youngstown,Emergency Medicine,Mercy Health St. Elizabeth Youngstown,Internal Medicine,Mercy Health St. Elizabeth Youngstown,Internal Medicine,Mercy Health St. Elizabeth Youngstown,Family Medicine,Mercy Health St. Elizabeth Youngstown,Pediatrics,"Akron Children's Hospital, Beeghley",Psychiatry,Mercy Health St. Elizabeth Youngstown,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown,Elective,Generic Elective,16.7,Youngstown
58,Elective,Generic Elective,Obstetrics/Gynecology,Aultman Hospital,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Family Medicine,Mercy Health St. Elizabeth Boardman,Pediatrics,"Akron Children's Hospital, Akron",Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",67.1,Akron
59,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Psychiatry,"Summa Health, Akron",Family Medicine,"Summa Health Systems, Barberton",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Obstetrics/Gynecology,Aultman Hospital,Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",29.6,Akron
60,Elective,Generic Elective,Obstetrics/Gynecology,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,"Summa Health Systems, Barberton",15.8,Akron
61,Surgery,UH Lake Health West Medical Center,Emergency Medicine,UH Lake Health West Medical Center,Psychiatry,Louis Stokes Cleveland VA,Family Medicine,UH Lake Health West Medical Center,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Elective,Generic Elective,Pediatrics,UH Cleveland Medical Center,Obstetrics/Gynecology,UH TriPoint Medical Center,43.8,Eastern Cleveland
62,Emergency Medicine,"Summa Health, Akron",Surgery,Aultman Hospital,Obstetrics/Gynecology,Aultman Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Elective,Generic Elective,66.3,Akron
63,Elective,Generic Elective,Psychiatry,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,Aultman Hospital,Obstetrics/Gynecology,"Summa Health, Akron",26.9,Akron
64,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Obstetrics/Gynecology,Aultman Hospital,Elective,Generic Elective,Psychiatry,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Family Medicine,"Summa Health Systems, Barberton",29.6,Akron
65,Pediatrics,"Akron Children's Hospital, Akron",Psychiatry,Northcoast Behavioral Health,Internal Medicine,Western Reserve Hospital,Internal Medicine,Western Reserve Hospital,Elective,Generic Elective,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Family Medicine,UH Lake Health West Medical Center,Obstetrics/Gynecology,Aultman Hospital,66.7,Akron
66,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Psychiatry,Louis Stokes Cleveland VA,Obstetrics/Gynecology,UH TriPoint Medical Center,Family Medicine,UH Lake Health West Medical Center,Pediatrics,UH Cleveland Medical Center,Emergency Medicine,UH Lake Health West Medical Center,Surgery,UH Lake Health West Medical Center,Elective,Generic Elective,53.3,Eastern Cleveland
67,Family Medicine,UH St. John Medical Center,Psychiatry,UH Cleveland Medical Center,Internal Medicine,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Obstetrics/Gynecology,UH Ahuja Medical Center,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Emergency Medicine,MetroHealth Medical Center,Surgery,UH Cleveland Medical Center,51.2,Eastern Cleveland
68,Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,Mercy Health St. Elizabeth Boardman,Elective,Generic Elective,Obstetrics/Gynecology,Aultman Hospital,Emergency Medicine,"Summa Health, Akron",Surgery,Western Reserve Hospital,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Psychiatry,Northcoast Behavioral Health,67.1,Akron
69,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,Cleveland Clinic Akron General,Elective,Generic Elective,3.9,Akron
70,Internal Medicine,UH Parma Medical Center,Internal Medicine,UH Parma Medical Center,Obstetrics/Gynecology,"Summa Health, Akron",Family Medicine,Mercy Health St. Elizabeth Boardman,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,80.7,Akron
71,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Mercy Medical Center (Canton),Family Medicine,"Summa Health Systems, Barberton",Psychiatry,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Elective,Generic Elective,26,Akron
72,Psychiatry,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Obstetrics/Gynecology,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Family Medicine,Cleveland Clinic Akron General,Elective,Generic Elective,28.4,Akron
